epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,718.643,1.30671,0.42457,1,1.26864,0.00333216,0.00333216,0.00333216
2,1437.21,1.22987,0.47684,1,1.17099,0.00633555,0.00633555,0.00633555
3,2050.3,1.22187,0.47514,1,1.17493,0.00900894,0.00900894,0.00900894
4,2620.27,1.21717,0.47676,1,1.163,0.008515,0.008515,0.008515
5,3188.81,1.1984,0.48989,1,1.1417,0.00802,0.00802,0.00802
6,3762.58,1.18596,0.49799,1,1.14228,0.007525,0.007525,0.007525
7,4344.99,1.17719,0.50178,1,1.12683,0.00703,0.00703,0.00703
8,4978.26,1.1698,0.49954,1,1.12465,0.006535,0.006535,0.006535
9,5509.83,1.16361,0.50263,1,1.11919,0.00604,0.00604,0.00604
10,6133.89,1.15853,0.50818,1,1.11612,0.005545,0.005545,0.005545
11,6741.48,1.15284,0.50695,1,1.11525,0.00505,0.00505,0.00505
12,7341.42,1.14944,0.50957,1,1.10876,0.004555,0.004555,0.004555
13,7930.12,1.14437,0.51104,1,1.10699,0.00406,0.00406,0.00406
14,8484.81,1.13859,0.51313,1,1.10361,0.003565,0.003565,0.003565
15,8994.84,1.13345,0.51452,1,1.10162,0.00307,0.00307,0.00307
16,9517.79,1.12895,0.5159,1,1.09984,0.002575,0.002575,0.002575
17,10031.2,1.12289,0.51621,1,1.09764,0.00208,0.00208,0.00208
18,10501.6,1.11602,0.51722,1,1.09531,0.001585,0.001585,0.001585
19,10963.4,1.11072,0.51799,1,1.09405,0.00109,0.00109,0.00109
20,11494.6,1.10286,0.51845,1,1.09267,0.000595,0.000595,0.000595
